text_content,source,sentiment_score
"When you purchase through links on our site, we may earn an affiliate commission.Here’s how it works.",Who What Wear (Editorial),0.0
"If you, like me, are short, findingtrendsand pieces that work for your height can sometimes be tricky. While actual growth is out of the question, dressing can be made easier simply by knowing what not to wear. If you're wondering why your clothes don't look right, it's entirely possible that you're just wearing the wrong trends.",Who What Wear (Editorial),0.4939
"From avoiding a particularly tricky print to knowing what silhouettes to stock up on, dressing for your height comes down to a simple set of fashion tips, which is why we put together our edit of the bestclothes for short womenlooking to embrace their stature. Keep reading to find out which fashion trends shorter people should avoid and to shop out top picks for petite girls.",Who What Wear (Editorial),-0.0498
A cropped style can help elongate any look and is an easy way to add on-trend dimension to your outfit. Pair it with your favorite high-waisted pants for an easy look that won't seem baggy.,Who What Wear (Editorial),0.8885
"Pair this with your favorite high-waisted skirt, jeans, or shorts.",Who What Wear (Editorial),0.4588
A shirtdress can easily swallow you up and make it look like you're wearing the wrong size or an oversize style if you're petite. Try a gathered or wrap dress instead to ensure your look is falling just right.,Who What Wear (Editorial),0.4215
"A chic, well-tailored pantsuit looks good on any body type, especially on someone petite. A sleek blazer and suit pants are a great dressier option for someone with shorter legs.",Who What Wear (Editorial),0.8442
"When it comes to blazers, I always vote double breasted.",Who What Wear (Editorial),0.0
"Horizontal stripes typically give a widening illusion, while vertical stripes elongate, meaning the latter is usually a go-to for shorter girls.",Who What Wear (Editorial),0.0
Structured tops are a guaranteed way to show off your figure without being swallowed by oversize pieces.,Who What Wear (Editorial),0.5106
The ultimate going-out top to pair with jeans or cargo pants.,Who What Wear (Editorial),0.2023
Solid colors are often considered more flattering and give an overall statement look rather than loud prints that can overwhelm a small figure.,Who What Wear (Editorial),0.3597
"Don't drown yourself in oversize denim. Instead, opt for a straight-leg style that gives the illusion of bagginess while remaining more formfitting.",Who What Wear (Editorial),0.4585
Midi skirts can cut shorter legs in the wrong place. Opt instead for a miniskirt.,Who What Wear (Editorial),-0.6369
A smaller bag for a smaller person. It's all about proportions.,Who What Wear (Editorial),0.0
A shorter hemline lends itself to the look of longer legs. Pairing it with some high heels only adds to that effect.,Who What Wear (Editorial),0.0
People will take one look at this dress and compliment you.,Who What Wear (Editorial),0.4767
"Mid-calf or knee-highbootscould cut your legs off in odd places. Try ankle boots instead, so your legs aren't as covered up.",Who What Wear (Editorial),-0.5267
"A low-cut vamp on pumps,mules, and flats elongates the legs and is a sleeker option than ankle-strapsandals.",Who What Wear (Editorial),0.0
Meet the nude and transparent sandals of the summer.,Who What Wear (Editorial),0.0
This post was originally published at an earlier date and has been recently updated.,Who What Wear (Editorial),0.0
"Up next,5 Jewelry Trends That Will Define Summer 2023—Plus, 5 That Definitely Won't",Who What Wear (Editorial),0.4019
"Who What Wear is part of Future US Inc, an international media group and leading digital publisher.Visit our corporate site.",Who What Wear (Editorial),0.0
"©
Future US, Inc. Full 7th Floor, 130 West 42nd Street,
New York,
NY 10036.",Who What Wear (Editorial),0.0
I too struggled with finding pants that aren’t jeans. I came across the Collette which is sold at Anthropologie. I love them. They fit great and feel so comfy on. You can get them cut like jeans or not! Go try some on!,Jo-Lynne Shane (Consumer),0.8856
"This is more of a question, I just bought a pair of red muted jeans meaning not bright red , are they in style for spring or a trip to florida",Jo-Lynne Shane (Consumer),-0.3412
What style are they? Muted colors are still having a small moment… I wore a rust pair (kick flares) a lot in the fall. I would say it depends on the style.,Jo-Lynne Shane (Consumer),0.0
"My three words are classic, feminine, and polished/refined. They served me well in 2025 and I will continue to focus on them in 2026. I’ve noticed you and a few other fashion bloggers I follow all are remarking that they want to simplify things. That’s not a bad idea! I tried adding a few new-to-me silhouettes (tops and bottoms) in 2025. The bottoms – I went to exclusively wearing trouser fit jeans and flowy slacks, and that has been a big win. The tops I tried, not so much. They weren’t as tailored or feminine as my current tops, and I just didn’t care for the look. That said, I’ve noticed something. I can’t seem to wear my more fitted slacks and jeans anymore. They still fit me as they did 3+ years ago, but I “notice the feel” of them more, like I’m more “aware” of them, and that sensation is starting to bother me, like my skin is more sensitive or something. Anyhow, they went into my “iffy” pile this past weekend, potentially to be weeded out of my closet permanently. Thanks for all your input here Jo-Lynne! Definitely gives me food for thought. 🙂",Jo-Lynne Shane (Consumer),0.9693
"I think we are all just sick of managing clothes… lol! I have always preferred a more minimalist closet, so I keep “blog stuff” separate, but it gets really old having so many clothes to manage.",Jo-Lynne Shane (Consumer),-0.1386
"This is a great post, thank you for sharing! You mention: Instead of wanting more, I find myself wanting less–I cannot agree more! I have found the past 2 years I share the same sentiment. Maybe it’s age or the fact that after my husband took early retirement, we downsized/sold home and moved to be near aging parents (which has been great) but I find myself not wanting to add more stuff to my closet and focus on, if needed, fresh, classic styles that really echo your style of modern, polished understated. Sometimes, I’d rather spend my $$ on experiences and travel vs clothing, accessories. Anyway, speaking of denim what is a good way to figure out which denim to keep vs donate? I got rid of my skinny jeans but I feel like I could donate more of my jeans–for example I have 2 pairs of slim straight AG jeans, one a denim and another washed black. They are soft and comfortable, I don’t really wear them because they feel like skinnies? I don’t know! Any ideas?",Jo-Lynne Shane (Consumer),0.9793
"For me, it is a simple gut check. Do I wear them? Do I want to wear them? If not, they go. If I’m not sure, they go to a “maybe” bin – (or for me, on my rolling racks with “blog stuff” as extra options when I need more variety to style.) If I don’t want them back after a time, they eventually get donated.",Jo-Lynne Shane (Consumer),-0.1833
"Ana, I love your idea about spending your money on experiences not material things!",Jo-Lynne Shane (Consumer),0.6696
It’s a real challenge for me to find the right fit in jeans/non-jeans. Thank you for all your suggestions. They’re very helpful,Jo-Lynne Shane (Consumer),0.8122
"I am basically a jeans person, but I do like the G4Free Dress Pants from Amazon. I have them in black and think I will add a few more colors. I reach for them all the time when I don’t want jeans. I wear them dressed up or down. I have worn them to church and other functions, and they are perfect for traveling.",Jo-Lynne Shane (Consumer),0.8309
"Oh, they look nice. I ordered this pair to try.",Jo-Lynne Shane (Consumer),0.4215
"Oh, good. I hope they work for you. I love mine. So enjoy reading your blog. One of my favorites.",Jo-Lynne Shane (Consumer),0.9459
"I love the G4Free dress pants! Like you said, Pamela, they can be dressed up or down so they serve many purposes. They look nice and are very comfortable. I have a couple in black and ordered another color. I am a jeans person and have not been able to find a black dress pant that I like but I love these. I also noticed that my much loved and worn straight leg jeans look dated to me and I am fully embracing the wide leg jeans. I love simplicity and I am working on fewer clothing items. Focusing on quality. An organized, intentional closet looks so good to me. This is a 2026 intention for me-buy fewer clothes, focus on quality and what I actually need.",Jo-Lynne Shane (Consumer),0.9864
"Nailed it. After several empty nest years, life changes, and trying not to let perimenopause make me depressed about my body changes, this post is a real encouragement and so relatable. Thank you! “Onward and upward”.",Jo-Lynne Shane (Consumer),0.1951
same!! i am shocked at how my body has changed and i am really having a hard time embracing these changes!,Jo-Lynne Shane (Consumer),-0.5933
"What a great post, Jo-Lynne. Several of your statements resonated with me. Many years ago, my daughter, who is 30 years younger than I, made a reference to my “uniform” and I was a bit taken aback. She explained that I wore the same formula in the winter– jeans, ankle boots, and a V-neck sweater, every day. And she was right. It’s the winter combo that works best for me, and it’s still my go-to. I never chose words to describe my style —that would stress me out more than finding clothes to reflect it. However, if I were to choose words, “relaxed” would be one. I only wear comfortable clothes that allow me to do anything physically. I want to walk into an appointment looking put together, but I also want to be able to drop to the floor to play a quick game of Uno with a grandchild or roll the large, heavy garbage dumpster down our long lane. Another thing you mentioned was wanting to add some non-denim pants to your closet. I have, over the last two years, but I find that I barely wear them. In the casual life I lead, I’ve discovered that even when I need an outfit more elevated than my everyday uniform, I’m most comfortable in wide-leg, dark jeans, adding a dressier top, shoes, bag, and jewelry. Denim is the basis of who I am, style-wise —even in my 60s. And I think it always will be. Thanks for putting so much thought into this post!",Jo-Lynne Shane (Consumer),0.9642
I can relate to all of that!,Jo-Lynne Shane (Consumer),0.0
"I found this very applicable to what is going on in my fashion life. I think I am changing my words to modern, classic, and edgy. It seems like a contradiction, but I am not just one thing. I like classic style in a modern way, and sometimes that means a little edgy, and I don’t mean in a sexy way, but in a way that’s a little different than normal. It’s a work in progress. I find myself wanting to wear hoodies that are not plain, but only at home. I’m still trying to figure this out. I just know that I need to stop buying dressier items, because that’s not my lifestyle anymore. I have discovered the Quince ponte pants line, and they are perfect for me because they are not jeans, look polished, and are comfortable like a legging. They come in different lengths and leg styles, depending on what you want. Just a suggestion on what is currently working for me as a nicer pants that’s not jeans.",Jo-Lynne Shane (Consumer),0.9627
"I like the Quince ponte pants, but they are all too tight in my waist. It’s so frustrating.",Jo-Lynne Shane (Consumer),-0.6555
"The way you’re describing your word “edgy” reminds me of my own word “unexpected“. For me it’s something a little different and out of the norm. My three are elegant, empowered and unexpected.",Jo-Lynne Shane (Consumer),0.4767
"I’m always in declutter/downsize mode, but I have transitioned from work-from-home full-time to working in a very conservative environment where full suits are required. If I’m not at work, I’m in pajamas or workout gear. I have nothing in between for going out to dinner/concerts/date nights. We don’t do it often, but we don’t NOT do it, either, so I need some casual party/going out clothes. As for everything else, I agree. Approaching 53 and definitely am understanding more what works and not trying to fit my round body into a square peg! Later today I’ll be purging more that I just don’t wear anymore. Shoes are another area I am becoming more discerning. I don’t care about trends as much, don’t do heels over 1.5″ post Covid, and refuse to wear “cute” shoes that are uncomfortable.",Jo-Lynne Shane (Consumer),-0.5104
I hear you on comfortable shoes! I don’t wear heels due to bad feet and stick with what’s comfy even if they might be not very current-I just don’t really care much anymore lol,Jo-Lynne Shane (Consumer),-0.1373
"Yes, I was thinking I should have addressed shoes. I did end up embracing Mary Janes this year, which I NEVER expected to happen! The styles I like are a bit edgier tho… small details that make a big difference. This post felt long enough, tho! As for needing some in between clothes, I have heard it recommended that your wardrobe should reflect how much time you spend in your clothes. So if you spend 70% of your life at work, 10% going out, and 20% at home in sweats, then 70% of your wardrobe should be workwear, 10% “going out” clothes, and 20% loungewear. Seems obvious, but in case you never thought of it that way… maybe that will help you determine how much you need.",Jo-Lynne Shane (Consumer),0.7983
"Helpful post! I found that in 2025 i wayyy overspent trying out newer trends and honestly should have stuck with what feels comfortable and stylish to me and not what i see on others. I ended up with many jean styles that just don’t fit with my personality and feel that i wasted a lot of money in this area in an effort to break out of my skinny jean rut! The denim styles out now are very confusing to me as they don’t always pair with the shoes i have in my closet. My goal this year is to greatly pair down/declutter my closet and only keep what feels like “me” and for new purchases, invest in pieces that will hold up well and that i can style in multiple ways.",Jo-Lynne Shane (Consumer),0.6986
"Yeah, that is the thing with evolving trends. Each wardrobe category affects another, so newer denim styles will likely require updating your shoes and tops too. It can feel overwhelming!",Jo-Lynne Shane (Consumer),0.6996
Wondering how you determined your style goal words?,Jo-Lynne Shane (Consumer),0.34
"I listened to this podcast, and it’s the one that really helped me narrow them down and make them useful.",Jo-Lynne Shane (Consumer),0.4404
JoLynne – I’ve eyed your JCrew cashmere boxy sweater ever since you debuted it for a great traveling piece. You show it this am in one of your pics as well! It looks timeless but being in SoCal I don’t wear sweaters very often and never see it with a ‘price improvement’…. Have you ever compared it to the Quince cashmere boxy sweater? I’d love to know if you have and what your thoughts were..?…,Jo-Lynne Shane (Consumer),0.9388
"I haven’t tried the Quince one, so I can’t really say, but they have a great return policy, so it’s worth a try! I have seen the J.Crew one on sale, but it’s been a while.",Jo-Lynne Shane (Consumer),0.8661
"I want to be more intentional in what I buy for 2026. I have plenty of Mother, Frame, Paige, AG, AYR jeans to last for a long time (in the style that I like and that looks best on my body). But with other items in my closet, I want to focus more on quality pieces vs trendy pieces that I might tire of in 6 months. I just ordered 2 new Veronica Beard bags and I am prepared to part with a few trendy logo bags I really don’t use anymore. Hoping that by actually putting this out in the universe, I can stick to my plan lol !",Jo-Lynne Shane (Consumer),0.8071
Sounds like a good way to invest in upgrading your wardrobe this year!,Jo-Lynne Shane (Consumer),0.69
"Good post. This past year I let my hair go gray at age 70. I never thought I would do that. I’m glad I did now. It’s a pretty white silver. I’ve had to change my colors. Warm colors don’t look good on me anymore so I’ve donated a lot of clothes. I’m more neutral in skin tone but the hair color makes a difference in what colors flatter me now. I’m a winter now. I intend to try to buy clothes for the life I lead. I’ve bought more jeans and Tshirts lately. I do have my share of non denim pants. I love my wide leg trousers. I don’t wear dresses or skirts much anymore. I probably need to get rid of some skirts I’ve been hanging on to. As you get older comfort becomes more important. When it comes to shoes, safety is another thing to consider. I’m glad there’s stylish options for comfortable shoes. I’d like to see posts on how to style clothes we might have. You can still show some trends and then return it. 🙂 By the way I like those drawstring jeans. Those are the type of pants I wear in the summer.",Jo-Lynne Shane (Consumer),0.9913
I liked those drawstring jeans too!,Jo-Lynne Shane (Consumer),0.4753
"Terri, I commented further down about my grey hair changing my colors. It took me a while to realize!",Jo-Lynne Shane (Consumer),0.126
Great post! Taking three trips to Europe this year with only a carry-on taught me I don’t need much. I had no problem coming up with a capsule wardrobe. I’m going to keep that in mind when I shop. I saw a quote “Style thrives in constraints.” That resonated with me.,Jo-Lynne Shane (Consumer),0.126
"Ohhh I like that one. The easiest trip I ever packed for was after I did my first-ever Marie Kondo closet purge and forced myself to create a capsule wardrobe. I documented it HERE. It was so freeing. If I didn’t have this job, I would so do that again!",Jo-Lynne Shane (Consumer),0.8264
"Great article! Love hearing your thought process on your personal style. I really need to pare down my wardrobe to just the combinations that are in style and I wear the most. Unfortunately I often fall victim to “what if I need it” or, “remember the great time I wore this…”",Jo-Lynne Shane (Consumer),0.872
"This was all so reaffirming and relatable! I enjoy following you because you feature “simple, comfortable outfits that feel polished and wearable in real life” with subtle variety instead of always changing it up. Thank you!",Jo-Lynne Shane (Consumer),0.8619
"This post each year gives me the nudge to reflect on my style and closet! I actually described my style and how I like to look to Chat GPT … oh yes I did 😂 and the three words that described my style were: modem , effortless and distinctive! The last was because even though I like to be casual and put together, I don’t necessarily want to look like everyone else ! I don’t need a lot of dressy clothes except for church and some going out outfits!! My day to day is comfort and casual living! But I want to stand out in a way that looks like I put effort and thought into my outfit before leaving the house! If you’re looking for a pant non denim have you tried the lodge pant from Aritzia? I think I’m going to invest in a pair you can dress them up or down and I can myself getting a lot of wear out of them!",Jo-Lynne Shane (Consumer),0.8916
"I love that you used ChatGPT for that! And distinctive is a great word for a style descriptor that I’ve never heard before. I have tried Aritzia pants but not the Lodge b/c I hate that kind of waistband. I prefer more structure. I felt like the ones I tried were too loose in the hips and long in the crotch, but they were ivory and that did me no favors. I should try a few more pairs in darker colors.",Jo-Lynne Shane (Consumer),-0.2014
"I described my style to Chat GPT–thanks for the idea, Karen! My 3 words were polished, modern and effortless, with alternate words relaxed, tailored and versatile. I feel that both sets of words describe my style.",Jo-Lynne Shane (Consumer),0.5411
"Love today’s post as it is so informative. I’ve struggled finding my style words with classic and polished best describing my behaviors and style. It’s the third word boho or edgy I need to figure out. Like you and so many others I am tired of chasing trends, and lean to fewer pieces that are of quality, fit well and my style. Thank you for what you do. You are one do the few bloggers I follow who comes across as intentional about her clothing selections and then educates us on the process. I can’t wait to see what’s in store for you and your business in 2026.",Jo-Lynne Shane (Consumer),0.9088
"Maybe give this podcast a listen, it really helped me hone in on my words. And it isn’t like I think about them all the time, but every once in a while when I can’t pinpoint why something is off, I realize it doesn’t fit those words, so I do think it’s a helpful exercise.",Jo-Lynne Shane (Consumer),0.123
"I loved this post so much. I need more of this to help me in my ongoing approach to try to downsize my closet. When I look back on my fashion choices and spending last year I want to do better this year. I feel like I wasted money on items I thought I loved and would wear but didn’t. How do I shop differently to avoid this? Part of my challenge is finding myself in situations where I’m shopping with friends and everyone encourages each other to buy whatever we try on, but those are often the things I end up never wearing. (This is one reason I like to share try ons with your FB group: honest feedback and unbiased opinions.) I have a walk-in closet, but it’s not super big and it’s very packed at the moment. Because of where I live, I don’t change out my closet based on the seasons, so I have ALL my clothes in my closet year round. Sometimes we have a warm January day when I’ll reach for a tank or a short dress so I like having all the options available. However I still think I probably should figure out a way to organize my closet better. Any suggestions are appreciated!",Jo-Lynne Shane (Consumer),0.9833
"It sounds like it works for you to keep it all in your closet, and probably helps you know what you have. I think the issue with shopping with friends is a big one. Jen at Everyday Style School mentions it a lot, and says that those purchases often end in the donate bin. Maybe have a list of questions on your phone you look at, back in the fitting room when you are alone and deciding which pieces to buy, to reassess: Where will I wear this? What will I wear with it? Do I have anything that serves that same purpose that I already enjoy wearing? If so, am I willing to part with to make room for this new item? Also, be honest with your friends and tell them you’re trying to be more intentional with your purchases, and have them help you answer those questions, lol. Or another idea is to take a photo, go home, and see if you’re still thinking about it the next day. If so, go to your closet and see if you can make outfits with it. You can always order it or go back and get it.",Jo-Lynne Shane (Consumer),0.9693
"Great post! I could not agree more. I too have determined that I am a solid size 30. However, if I find a certain style feels more comfortable larger, I’ll size up with a stiff upper lip. 😂 I’m all for it. Blood pressure medication at age 68 has helped me to gain weight. As a result, I’ve had to settle into reality and honestly, it’s liberating! I exercise regularly and don’t frequently overindulge so whatever size I am, I am! Getting too old to worry about it and frankly, if I put an outfit together and it suits my body, it makes me feel great! Kick It, Weekenders and Mari’s are my favorite jeans and for tops, quality & simple are best. Like you, less is more. Otherwise, I get overwhelmed! I appreciate your blog and wish you good health and a year of peace and contentment. Blessings to you!",Jo-Lynne Shane (Consumer),0.9931
"For non-denim pants, have you tried Chico’s pull on pixie style pants? While a lot of the styles at Chico’s don’t fit my personal style, I do enjoy wearing my black slacks from there. Last year I wanted to have fewer pieces in my wardrobe, but I never fully got to that point. Now when I walk in my closet, I really want to scream due to how full it is, and it being full does not make me happy. I would really like to try everything on now and only keep what I really love. But the ruptured tendon to the bicep in my arm is so painful, that I just can’t do it. I have begun carefully looking at each piece in my wardrobe and pulling out things that I am not wearing or using now, for whatever reason. Hopefully that process will get me through the next few months and I’ll be happier with what is left.",Jo-Lynne Shane (Consumer),0.6714
"Yes, sometimes slow and steady is best! I do that too, some days I just look at an item and think, “Nope, I’m done with it.” And out it goes! It is constantly a work in progress.",Jo-Lynne Shane (Consumer),0.8829
